挨	ái	to endure, to suffer
公民	gōng mín	citizen
共鸣	gòng míng	resonance, sympathy
公婆	gōng pó	husband's parents
公然	gōng rán	flagrantly, undisguised
公认	gōng rèn	to be generally acknowledged
公式	gōng shì	formula
公务	gōng wù	public affairs, official business
功效	gōng xiào	efficacy
工艺品	gōng yì pǐn	handicraft
公正	gōng zhèng	justice, just, fair
公证	gōng zhèng	notarization, to notarize
勾结	gōu jié	to collude with, to gang up with
构思	gòu sī	conception, to design, to conceive
钩子	gōu zi	hook
股东	gǔ dōng	shareholder, stockholder
古董	gǔ dǒng	antique, curio
鼓动	gǔ dòng	to agitate, to arouse, to incite
孤独	gū dú	lonely
股份	gǔ fèn	share, stock
辜负	gū fù	to fail to live up to, to be unworthy of, to disappoint
骨干	gǔ gàn	backbone, diaphysis
古怪	gǔ guài	eccentric, cranky, oddly, grotesque
孤立	gū lì	isolation, to isolate, isolated
顾虑	gù lǜ	misgivings, apprehensions, to have misgiving about
姑且	gū qiě	temporarily, for the moment
固然	gù rán	admittedly, it is true, no doubt
顾问	gù wèn	adviser, consultant
故乡	gù xiāng	home, hometown
固有	gù yǒu	intrinsic, inherent, native
故障	gù zhàng	malfunction, breakdown, defect, fault
固执	gù zhi	stubborn, obstinate, pigheaded
拐杖	guǎi zhàng	walking stick, crutches
罐	guàn	can, jar, pot
贯彻	guàn chè	to carry out, to implement, to put into practice
官方	guān fāng	officials, authorities, official, authoritative
灌溉	guàn gài	irrigation, to irrigate, to water
观光	guān guāng	tourism, sightseeing, to tour, to go sightseeing
惯例	guàn lì	convention, tradition
管辖	guǎn xiá	to administer, to govern, to have jurisdiction over
关照	guān zhào	to take care, to look after, to inform
光彩	guāng cǎi	luster, splendor, brilliance, honorable, glorious
光辉	guāng huī	radiance, brilliance, brilliant, magnificent
广阔	guǎng kuò	wide, vast
光芒	guāng máng	rays of light
跪	guì	to kneel
轨道	guǐ dào	railway, track, orbit
规范	guī fàn	norm, rule, standard
规格	guī gé	standard, norm, specification
归根到底	guī gēn dào dǐ	to sum it up, in a final analysis, in the long run
规划	guī huà	plan, program, to plan, to work out
归还	guī huán	to return sth., to give back
归纳	guī nà	to conclude, to sum up, to summarize
规章	guī zhāng	rule, regulation
贵族	guì zú	nobleman, aristocrat, aristocracy, lord
棍棒	gùn bàng	club, cane, stick
过度	guò dù	excessive
过渡	guò dù	transition, to cross over, interim
果断	guǒ duàn	firm, decisive
国防	guó fáng	national defense
过奖	guò jiǎng	to overpraise, to flatter
过滤	guò lǜ	filtration, to filter
过失	guò shī	error, fault, mistake
过问	guò wèn	to ask about, to concern with
国务院	guó wù yuàn	State Council (China), State Department (USA)
过瘾	guò yǐn	to satisfy a craving, to enjoy fully
过于	guò yú	excessively, too much
嗨	hāi	Hi!
海拔	hǎi bá	height above sea level
海滨	hǎi bīn	shore, seaside
含糊	hán hu	ambiguous, vague
罕见	hǎn jiàn	rare, peculiar
捍卫	hàn wèi	to defend, to uphold
寒暄	hán xuān	to exchange conventional greetings, to make small talk
含义	hán yì	meaning, implication
航空	háng kōng	aviation
行列	háng liè	line, row, procession
航天	háng tiān	space flight
航行	háng xíng	to sail, to fly, to navigate
耗费	hào fèi	to use, to waste
好客	hào kè	hospitality, to be hospitable, hospitable, friendly
豪迈	háo mài	bold, heroic
毫米	háo mǐ	millimeter
毫无	háo wú	not in the least, none whatsoever
号召	hào zhào	to call, to appeal
呵	hē	oh, ah
和蔼	hé ǎi	kind, amiable
合并	hé bìng	to merge, to unite, to incorporate
合成	hé chéng	compound, synthesis, to compose, to constitute, to synthesize, synthetic
合乎	hé hū	to accord with, conforming to
合伙	hé huǒ	to cooperate, to form a partnership
和解	hé jiě	reconciliation, compromise, to settle (a dispute out of court), to reconcile
和睦	hé mù	peaceful relations, harmony, harmonious
和气	hé qi	friendly, amiable
合身	hé shēn	to fit (clothes)
合算	hé suàn	reckon up, worthwhile, be worth the money
和谐	hé xié	harmonious
嘿	hēi	hey
恨不得	hèn bu de	to itch to, wish one could do sth.
痕迹	hén jì	mark, trace, vestige
狠心	hěn xīn	heartless, cruel-hearted
哼	hēng	to express dissatisfaction
哄	hōng	roar of laughter
烘	hōng	to bake, to warm by a fire
红包	hóng bāo	cash gift, bribe
轰动	hōng dòng	to cause a great sensation, to make a stir
宏观	hóng guān	macroscopic
洪水	hóng shuǐ	flood, deluge
宏伟	hóng wěi	grand, imposing, magnificent
吼	hǒu	to roar, to howl, to shout
后代	hòu dài	later generations, descendants, offsprings
后顾之忧	hòu gù zhī yōu	worries about the future consequences
喉咙	hóu lóng	throat, larynx
后勤	hòu qín	logistics
候选	hòu xuǎn	candidate
互联网	hù lián wǎng	internet
胡乱	hú luàn	carelessly, casually, at random
忽略	hū lüè	to neglect, to overlook
湖泊	hú pō	lake
呼啸	hū xiào	to whistle, to scream, to howl
呼吁	hū yù	appeal, to appeal
花瓣	huā bàn	petal
化肥	huà féi	chemical fertilizer
划分	huà fēn	to divide up, to mark off
华丽	huá lì	gorgeous, magnificent
华侨	huá qiáo	overseas Chinese
画蛇添足	huà shé tiān zú	to overdo it, to ruin the effect by adding sth. superfluous
化石	huà shí	fossil
话筒	huà tǒng	microphone
化验	huà yàn	laboratory test, chemical analysis
化妆	huà zhuāng	make-up, to put make-up on
怀孕	huái yùn	pregnancy, to be pregnant
缓和	huǎn hé	to ease, to relax, to moderate
环节	huán jié	link, segment, connection
欢乐	huān lè	gladness, pleasure, happy, joyous, gay
还原	huán yuán	reduction (chem.), to restore to the original state
患者	huàn zhě	patient
黄昏	huáng hūn	dusk, nightfall
荒凉	huāng liáng	desolate
慌忙	huāng máng	hurried, hasty, in a great rush
荒谬	huāng miù	absurd, ridiculous
恍然大悟	huǎng rán dà wù	to suddenly realize
荒唐	huāng táng	ludicrous, absurd, beyond belief, fantastic
回报	huí bào	payback, to reback, to requite
汇报	huì bào	to report, to give an account of
回避	huí bì	to avoid, to obviate
回顾	huí gù	retrospection, to review, to look back
悔恨	huǐ hèn	remorse, regret, to regret, to be seized with remorse
辉煌	huī huáng	splendid, brilliant, glorious
挥霍	huī huò	to squander (e.g. money), agile
贿赂	huì lù	bribe, to bribe
毁灭	huǐ miè	destruction, devastation, to destroy, to ruin
回收	huí shōu	to reclaim, to retrieve, to recover
会晤	huì wù	meeting, contact, to meet
混合	hùn hé	to mix, to blend
混乱	hùn luàn	chaos, confusion, disorder, chaotic, disorderly, unorganized
昏迷	hūn mí	coma, stupor, unconscious
浑身	hún shēn	from head to foot, all over
混淆	hùn xiáo	to confuse, to mix up
混浊	hùn zhuó	turbid, dirty
货币	huò bì	currency, money
活该	huó gāi	to serve sbd. right, deservedly
火箭	huǒ jiàn	rocket
活力	huó lì	energy, vitality, vigor
或许	huò xǔ	perhaps, maybe
火焰	huǒ yàn	flame, blaze
火药	huǒ yào	gunpowder
即便	jí biàn	even if, even thoug
级别	jí bié	rank, level, grade
疾病	jí bìng	disease, sickness
继承	jì chéng	to inherit, to carry on, to succeed
基地	jī dì	base, military base
机动	jī dòng	motorized, power-driven, flexible, mobile
嫉妒	jí dù	jealousy, to be jealous, to envy, jealous
季度	jì dù	quarter, 3 months
极端	jí duān	extreme, radical, utmost
饥饿	jī è	hunger, starvation, hungry, starving
激发	jī fā	to arouse, to excite, to inspire
急功近利	jí gōng jìn lì	looking only for fast success
机构	jī gòu	mechanism, organization, institution
机关	jī guān	office, mechanism, organ, intrigue, plot trick
籍贯	jí guàn	native place, place of ancestry
忌讳	jì huì	taboo, to abstain from
即将	jí jiāng	to be about to, soon, right away
计较	jì jiào	to haggle, to bicker
基金	jī jīn	fund
寂静	jì jìng	silent, quiet
急剧	jí jù	rapid, sudden, abrupt
季军	jì jūn	bronze medalist
激励	jī lì	to encourage, to motivate
机灵	jī ling	clever, quick-witted
机密	jī mì	secret, secret, classified
技能	jì néng	skill, technical ability
技巧	jì qiǎo	skill, technique
急切	jí qiè	eager, impatient
激情	jī qíng	passion, enthusiasm
集团	jí tuán	group, bloc, corporation
寄托	jì tuō	to place (hope, etc.) on, consign
继往开来	jì wǎng kāi lái	building on the past and forming the future
极限	jí xiàn	limit, utmost
吉祥	jí xiáng	lucky, auspicious
迹象	jì xiàng	sign, indication
讥笑	jī xiào	ironical smile, to sneer at, to ridicule
机械	jī xiè	machine, mechanical, inflexible
记性	jì xing	memory, recall
纪要	jì yào	minutes, written summary of a meeting
基因	jī yīn	gene
机遇	jī yù	opportunity
给予	jǐ yǔ	to give, to render, to present, to accord
急于求成	jí yú qiú chéng	demanding quick results
记载	jì zǎi	record, to write down
及早	jí zǎo	as soon as possible
急躁	jí zào	impatient, irritable, impetuous
机智	jī zhì	tact, alertness, quick-witted, tactful, resourceful
家常	jiā cháng	daily life of a family
加工	jiā gōng	processing, to process, to manufacture
家伙	jiā huo	fellow, guy, tool, weapon
加剧	jiā jù	to intensify, to sharpen, to aggravate
假设	jiǎ shè	hypothesis, assumption, to suppose, to assume, in case of
假使	jiǎ shǐ	if, in case
家属	jiā shǔ	family member, dependent
佳肴	jiā yáo	delicacies, delicious food
家喻户晓	jiā yù hù xiǎo	widely known
夹杂	jiā zá	to be mixed up with, to be mingled with
拣	jiǎn	to choose, to pick
溅	jiàn	to splash, to spatter
鉴别	jiàn bié	to differentiate, to distinguish
剪彩	jiǎn cǎi	to cut the ribbon (at opening ceremony)
间谍	jiàn dié	spy
坚定	jiān dìng	to steady, to strengthen, firm, steady, staunch
鉴定	jiàn dìng	Evaluation, to appraise, to evaluate
监督	jiān dū	supervisor, to control, to supervise
尖端	jiān duān	sharp pointed end, tip, highest point, peak
见多识广	jiàn duō shí guǎng	experienced and knowledgeable
间隔	jiàn gé	interval, gap, compartment
坚固	jiān gù	solid, firm, stable, strong
简化	jiǎn huà	to simplify
间接	jiàn jiē	indirect
见解	jiàn jiě	opinion, view, understanding
简陋	jiǎn lòu	simple and crude
艰难	jiān nán	difficulty, hardship, difficult, hard
健全	jiàn quán	healthy, strong, robust
坚韧	jiān rèn	tough, durable, tenacious
坚实	jiān shí	solid, firm, substantial
监视	jiān shì	to monitor, to oversee, to watch
践踏	jiàn tà	to trample, to tread on
检讨	jiǎn tǎo	self-criticism
简体字	jiǎn tǐ zì	simplified character
舰艇	jiàn tǐng	warship, naval vessel
见闻	jiàn wén	what one sees and hears, knowledge, experience
检验	jiǎn yàn	test, to examine, to check, to test, to inspect
简要	jiǎn yào	concise, brief
见义勇为	jiàn yì yǒng wéi	to stand up bravely for the truth
坚硬	jiān yìng	hard, solid
监狱	jiān yù	prison, jail
鉴于	jiàn yú	in view of, considering
兼职	jiān zhí	part-time job, part-time
桨	jiǎng	oar, paddle
将近	jiāng jìn	nearly, about, on the verge of
将军	jiāng jūn	admiral, general, to challenge
奖励	jiǎng lì	reward, to reward
降临	jiàng lín	to befall, to arrive
奖赏	jiǎng shǎng	reward, prize (money), to reward
僵硬	jiāng yìng	stiff, stark, inflexible
搅拌	jiǎo bàn	to stir, to mix up
交叉	jiāo chā	to cross, to intersect
交代	jiāo dài	to explain, to justify onself, to hand over (duties), to confess
焦点	jiāo diǎn	focus, focal point
焦急	jiāo jí	anxiety, anxious, worried
较量	jiào liàng	to have a contest, to compete
角落	jiǎo luò	corner, nook
缴纳	jiǎo nà	to pay (taxes)
娇气	jiāo qì	squeamish, finicky
交涉	jiāo shè	to negotiate
交往	jiāo wǎng	association, contact, to associate, to contact
教养	jiào yǎng	upbringing, education, to educate, to bring up
交易	jiāo yì	transaction, business deal, trade
皆	jiē	all, each and every
戒备	jiè bèi	to take precautions, to be on the alert
阶层	jiē céng	hierarchy, social stratum
杰出	jié chū	outstanding, remarkable
解除	jiě chú	relief, dissolution, to relief, to remove, to dissolve
揭发	jiē fā	revelation, to expose, to disclose, to bring to light
解雇	jiě gù	to fire, to sack, to dismiss
借鉴	jiè jiàn	to take example by, to use as reference
竭尽全力	jié jìn quán lì	to spare no effort, to do all one can
结晶	jié jīng	crystal, crystallization
结局	jié jú	ending, finale, conclusion
接连	jiē lián	in succession, in a row, one after another
揭露	jiē lù	disclosure, to expose, to unmask, to disclose
解剖	jiě pōu	dissection, anatomy, to dissect, to anatomize
解散	jiě sàn	to dissolve, to disband, to dismiss
结算	jié suàn	to balance, to settle accounts
解体	jiě tǐ	to disintegrate
界限	jiè xiàn	boundary, limit, border
截至	jié zhì	up to, by (time)
借助	jiè zhù	with the help of, drawing support from
节奏	jié zòu	rhythm
进而	jìn ér	then, and then
进攻	jìn gōng	to attack, to assault
进化	jìn huà	evolution
津津有味	jīn jīn yǒu wèi	to do with great pleasure, to relish
尽快	jǐn kuài	as soon as possible
近来	jìn lái	recently, lately
紧密	jǐn mì	inseperable, close
浸泡	jìn pào	to soak, to immerse
紧迫	jǐn pò	urgent, pressing
金融	jīn róng	finance, banking
晋升	jìn shēng	to promote (job)
近视	jìn shì	shortsighted
劲头	jìn tóu	enthusiasm, vigor
锦绣前程	jǐn xiù qián chéng	bright future
进展	jìn zhǎn	progress, to evolve, to make progress
茎	jīng	stalk, stem
井	jǐng	well
精打细算	jīng dǎ xì suàn	careful calculation and strict budgeting
惊动	jīng dòng	to disturb, to alert, to alarm
经费	jīng fèi	expenditure, regular expenses, funds
警告	jǐng gào	to warn, to admonish
精华	jīng huá	elite, essence
精简	jīng jiǎn	to simplify
境界	jìng jiè	boundary, realm
兢兢业业	jīng jīng yè yè	cautious and conscientious
敬礼	jìng lǐ	salute
精密	jīng mì	accuracy, exact, precise
惊奇	jīng qí	to be amazed, to be surprised
精确	jīng què	accurate, precise
竞赛	jìng sài	contest, competition
经商	jīng shāng	to trade, to be in business
警惕	jǐng tì	to be on the alert, to watch out for
精通	jīng tōng	to be proficient
镜头	jìng tóu	camera lens, shot, movie scene
经纬	jīng wěi	warp and woof, main points, longitude and latitude
精心	jīng xīn	meticulous, fine, detailed
竞选	jìng xuǎn	to run for office, to take part in election
惊讶	jīng yà	stonishment, awe, surprised, amazed, astonished
精益求精	jīng yì qiú jīng	to keep improving sth. already outstanding
精致	jīng zhì	delicate, fine, exquisite
颈椎	jǐng zhuī	cervical vertebra
纠纷	jiū fēn	dispute, entanglement
救济	jiù jì	to give relief to, to succor
就近	jiù jìn	nearby
酒精	jiǔ jīng	alcohol, ethanol
就业	jiù yè	to take up a job
纠正	jiū zhèng	to correct, to put right
就职	jiù zhí	to assume office, to take office
剧本	jù běn	screenplay
局部	jú bù	in part, partial, local
举动	jǔ dòng	action, activity, movement
鞠躬	jū gōng	to bow
聚精会神	jù jīng huì shén	to concentrate completely
咀嚼	jǔ jué	to chew
剧烈	jù liè	acute, violent, severe
拘留	jū liú	detention, to detain, to arrest
局面	jú miàn	situation, aspect
沮丧	jǔ sàng	dispirited, dejected, depressed
局势	jú shì	situation
举世闻名	jǔ shì wén míng	world famous
举世瞩目	jǔ shì zhǔ mù	to attract worldwide attention
拘束	jū shù	reticent, constrained, awkward
据悉	jù xī	it is reported
局限	jú xiàn	limit, to limit, to confine
居住	jū zhù	to reside, to live
举足轻重	jǔ zú qīng zhòng	to play the decisive role
决策	jué cè	(strategic) decision, to make policy, to make a strategic decision
绝望	jué wàng	desperation, hopelessness, to despair, to lose courage
觉悟	jué wù	conscousness, awareness, to become aware of
觉醒	jué xǐng	to awake, to come to realize
军队	jūn duì	army
卡通	kǎ tōng	cartoon
开采	kāi cǎi	to exploit, to mine
开除	kāi chú	to dismiss, to expel
开阔	kāi kuò	to widen, to open up, wide, open
开朗	kāi lǎng	optimistic, easy-going
开明	kāi míng	enlightened, open-minded
开辟	kāi pì	to open up, to start
开水	kāi shuǐ	boiled water
开拓	kāi tuò	to open up, to break new ground, to exploit
开展	kāi zhǎn	to develop, to launch, to carry out
开支	kāi zhī	expenses, expenditures
看待	kàn dài	to look upon, to regard
刊登	kān dēng	to publish (in a newspaper, magazine, etc.)
勘探	kān tàn	exploration, to prospect for
看望	kàn wàng	to visit
刊物	kān wù	publication
扛	káng	to carry on the shoulder
慷慨	kāng kǎi	generous, liberal, fervent
考察	kǎo chá	to inspect, to investigate
考古	kǎo gǔ	archaeology
考核	kǎo hé	to examine, to assess, to evaluate
靠拢	kào lǒng	to draw close, to close up
考验	kǎo yàn	test, trial, to test, to try
磕	kē	to knock
刻不容缓	kè bù róng huǎn	to demand immediate action
可观	kě guān	considerable, impressive, respectable
客户	kè hù	client, customer
可口	kě kǒu	tasty, delicious
颗粒	kē lì	granule, kernel
科目	kē mù	subject, course
课题	kè tí	task, topic for study/discussion
渴望	kě wàng	to thirst for, to long for
可恶	kě wù	hateful, repulsive
可笑	kě xiào	ridiculous, laughable
可行	kě xíng	feasable, practicable
啃	kěn	to gnaw, to nibble, to bite
恳切	kěn qiè	earnest, sincere
坑	kēng	pit, hole, tunnel, to cheat, to entrap
孔	kǒng	hole, aperture, opening
空白	kòng bái	blank space, gap
空洞	kōng dòng	cavity, empty, hollow
恐吓	kǒng hè	to threaten, to frighten
恐惧	kǒng jù	fear, dread, phobia
空前绝后	kōng qián jué hòu	unmatched, unique
空隙	kòng xì	gap, crack
空想	kōng xiǎng	daydream, fantasy, phantasm, to daydream, to build castles in the air
空虚	kōng xū	emtiness, empty, hollow
口气	kǒu qì	tone, manner (of saying something)
口腔	kǒu qiāng	oral cavity
口头	kǒu tóu	verbal, spoken, oral
口音	kǒu yīn	accent
枯竭	kū jié	to dry up, to be exhausted (resources)
苦尽甘来	kǔ jìn gān lái	bitterness finishes, sweetness begins
枯燥	kū zào	boring, dry, dull
挎	kuà	to carry (on/over arm)
跨	kuà	to step across, to stride over
快活	kuài huo	happy, cheerful
宽敞	kuān chang	spacious
款待	kuǎn dài	to entertain hospitably, to treat hospitably
款式	kuǎn shì	design, style, pattern
筐	kuāng	basket
框架	kuàng jià	frame, framework
旷课	kuàng kè	to skip class
况且	kuàng qiě	moreover, in addition
亏待	kuī dài	to treat sbd. unfairly
亏损	kuī sǔn	deficit, loss, to lose, to make a loss
捆绑	kǔn bǎng	to bind, to bind up
昆虫	kūn chóng	insect
扩充	kuò chōng	to expand, to enlarge
扩散	kuò sàn	spread, diffusion, to spread, to diffuse
扩张	kuò zhāng	expansion, to expand, to broaden
啦	la	to end a sentence
喇叭	lǎ ba	horn (car, etc.), loudspeaker, trumpet
来历	lái lì	history, origin, source
来源	lái yuán	source, origin
懒惰	lǎn duò	lazy, idle
栏目	lán mù	column
狼狈	láng bèi	to be in a difficult/embarrassing situation
朗读	lǎng dú	to read aloud
捞	lāo	to fish up, to dredge up
唠叨	láo dao	to chatter, to prattle, to nag
牢固	láo gù	solid, firm, secure, strong
牢骚	láo sāo	complaint, grievance
乐趣	lè qù	joy, delight, pleasure
乐意	lè yì	to be willing to, to be ready to
雷达	léi dá	radar
类似	lèi sì	similar, analogous
愣	lèng	to look distracted, distracted, rashly
冷淡	lěng dàn	indifferent, cold, unconcerned
冷酷	lěng kù	grim, hardhearted, callous
冷却	lěng què	cooling, to cool
理睬	lǐ cǎi	to pay attention to, to show interest in
立场	lì chǎng	position, standpoint, stand
里程碑	lǐ chéng bēi	milestone
历代	lì dài	through the ages, successive generations
利害	lì hài	pros and cons
立交桥	lì jiāo qiáo	overpass, flyover
礼节	lǐ jié	etiquette, manners
历来	lì lái	always, throughout the history
利率	lì lǜ	interest rates
黎明	lí míng	dawn, daybreak
理所当然	lǐ suǒ dāng rán	to go without saying, inevitable and right
力所能及	lì suǒ néng jí	to be within one's power
立体	lì tǐ	solid, 3D, stereoscopic
力图	lì tú	to try hard to, to strive to
例外	lì wài	exception, to make an exception, exceptional
力争	lì zhēng	to work hard for, to do all one can, to strive for, to argue strongly
理智	lǐ zhì	reason, intellect
理直气壮	lǐ zhí qì zhuàng	to be in the right and self-confident
立足	lì zú	to have a footing, to base oneself on
联欢	lián huān	to have a get-together
廉洁	lián jié	integrity, honest, incorruptible
联络	lián luò	communication, connection, to contact, to get in touch with
联盟	lián méng	alliance, union, coalition
连年	lián nián	for a series of years, over many years
连锁	lián suǒ	chain
连同	lián tóng	together with, along with
联想	lián xiǎng	association, to associate with sth.
晾	liàng	to dry in the air
谅解	liàng jiě	understanding (sb.)
良心	liáng xīn	conscience
辽阔	liáo kuò	vast, extensive
列举	liè jǔ	list, to list, to enumerate
淋	lín	to sprinkle, to drench, to filter
临床	lín chuáng	clinical
吝啬	lìn sè	stingy, mean, miserly
凌晨	líng chén	early in the morning
灵感	líng gǎn	inspiration, insight
领会	lǐng huì	to understand, to grasp
灵魂	líng hún	soul, spirit
伶俐	líng lì	clever, smart, witty
灵敏	líng mǐn	smart, sensitive, keen
领事馆	lǐng shì guǎn	consulate
领土	lǐng tǔ	territory
领悟	lǐng wù	to understand, to comprehend
领先	lǐng xiān	to lead, to be in front
零星	líng xīng	fragmentary, scattered, sporadic
领袖	lǐng xiù	leader
溜	liū	to skate, to escape in stealth, to sneak off
流浪	liú làng	vagrant life, to roam about, to wander, to be homeless
留恋	liú liàn	to be reluctant to leave, to recall with nostalgia
流露	liú lù	to express, to reveal (feelings)
流氓	liú máng	hooligan, hoodlum, gangster
留念	liú niàn	to keep as a souvenir
留神	liú shén	to take care, to watch out
流通	liú tōng	circulation, to circulate, to flow
垄断	lǒng duàn	monopoly , to monopolize
聋哑	lóng yǎ	deaf and dumb
笼罩	lǒng zhào	to envelop, to shroud
隆重	lóng zhòng	ceremonious, solemn, grand
搂	lǒu	to hug, to embrace
屡次	lǚ cì	repeatedly
履行	lǚ xíng	to carry out, to fulfill
炉灶	lú zào	stove
掠夺	lüè duó	to plunder, to rob
略微	lüè wēi	a little bit, slightly
轮船	lún chuán	steamship
轮廓	lún kuò	outline, contour, silhouette
轮胎	lún tāi	tire
论坛	lùn tán	forum (for discussion)
论证	lùn zhèng	proof, to prove a point, to expound on
落成	luò chéng	completion of a building, to complete (building)
落实	luò shí	to carry out, to implement, practical, workable
螺丝钉	luó sī dīng	screw
啰唆	luō suo	to grumble
络绎不绝	luò yì bù jué	continuously; in an endless stream
嘛	ma	expressing urging
麻痹	má bì	paralysis, numb, lull
麻木	má mù	numb, insensitive
码头	mǎ tóu	dock, pier, wharf
麻醉	má zuì	anesthesia, narcosis, to anesthetize
迈	mài	mile, to take a step, to stride
脉搏	mài bó	pulse
埋伏	mái fú	ambush, to ambush, to lurk
埋没	mái mò	oblivion, to cover up (with earth, etc.), to bury
埋葬	mái zàng	to bury
漫长	màn cháng	very long, endless
漫画	màn huà	caricature, cartoon, manga
慢性	màn xìng	chronic
蔓延	màn yán	to extend, to spread, to creep
埋怨	mán yuàn	to complain, to grumble
忙碌	máng lù	busy
茫茫	máng máng	boundless, vast
盲目	máng mù	blind, aimless
茫然	máng rán	absent (mind), blank, puzzled
冒充	mào chōng	to feign, to pretend to be
茂盛	mào shèng	luxuriant, exuberant, lush
枚	méi	Measure, for medals, coins, rockets, etc.
美观	měi guān	pleasing to the eye, beautiful, artistic
媒介	méi jiè	media, medium
美满	měi mǎn	happy, blissful
美妙	měi miào	great, wonderful, beautiful, splendid
媒体	méi tǐ	media
没辙	méi zhé	to not be able to do anything about it
门诊	mén zhěn	outpatient service
蒙	méng	to cover
猛烈	měng liè	fierce, violent
梦想	mèng xiǎng	dream, wishful thinking, to dream of
萌芽	méng yá	sprout, germ, beginning (of sth.)
眯	mī	to narrow one's eyes, to take a nap
弥补	mí bǔ	to make up for, to compensate
密度	mì dù	density
密封	mì fēng	to seal up, to seal airtight
迷惑	mí huò	to puzzle, to confuse
弥漫	mí màn	to pervade, to fill the air with
迷人	mí rén	charming, fascinating
迷失	mí shī	to lose the way, to get lost
迷信	mí xìn	superstition
免得	miǎn de	in order to avoid
勉励	miǎn lì	to encourage
面貌	miàn mào	face, appearance
勉强	miǎn qiǎng	to do with difficulty, to force sbd. to do sth.
免疫	miǎn yì	immunity, immune
面子	miàn zi	face, prestige
描绘	miáo huì	to describe, to protray
渺小	miǎo xiǎo	tiny, insignificant
蔑视	miè shì	contempt, to loath, to despise
灭亡	miè wáng	to be destroyed, to become extinct, to perish
敏感	mǐn gǎn	sensitive, susceptible
民间	mín jiān	popular, among the people
敏捷	mǐn jié	quick, nimble, agile
敏锐	mǐn ruì	keen, sharp, acute
民用	mín yòng	for civilian use
名次	míng cì	place in a competition, position in a ranking of names
名额	míng é	quota of people
名副其实	míng fù qí shí	to be worthy of the name
明明	míng míng	obviously, undoubtedly
命名	mìng míng	to give a name to
名誉	míng yù	reputation, honor, fame
膜	mó	membrane, film
摩擦	mó cā	friction, rubbing, to rub against
模范	mó fàn	model, fine example
魔鬼	mó guǐ	devil
磨合	mó hé	to get familiar with
莫名其妙	mò míng qí miào	unable to make head or tail of it
默默	mò mò	silently, quietly
抹杀	mǒ shā	to erase, to deny, to write off
模式	mó shì	mode, pattern
魔术	mó shù	magic
墨水儿	mò shuǐ r	ink
摸索	mō suǒ	to fumble, to feel about
模型	mó xíng	model, mould, matrix, pattern
谋求	móu qiú	to seek, to strive for
目睹	mù dǔ	to withness, to see with own eyes
目光	mù guāng	sight, view, vision
模样	mú yàng	look, style, appearance
母语	mǔ yǔ	native language
沐浴	mù yù	to take a bath
纳闷儿	nà mèn r	to feel puzzled, to wonder
拿手	ná shǒu	to be good at
耐用	nài yòng	durable
难得	nán dé	rare
难堪	nán kān	embarrassed, embarrassing, humiliating
难免	nán miǎn	hard to avoid, unavoidable
难能可贵	nán néng kě guì	commendable, estimable
恼火	nǎo huǒ	to get angry, to be annoyed
内涵	nèi hán	intention, meaning
内幕	nèi mù	inside story, behind the scenes
内在	nèi zài	inherent, intrinsic
能量	néng liàng	energy, capacity, ability
嗯	ńg	expressing astonishment ("what", "huh", etc.)
拟定	nǐ dìng	to draw up, to formulate
年度	nián dù	year
捏	niē	to pinch, to knead
拧	níng	to twist, to wring, to pinch
凝固	níng gù	to solidify, to congeal
凝聚	níng jù	to condense, to coagulate
宁肯	nìng kěn	would rather, would prefer
凝视	níng shì	to gaze, to stare
宁愿	nìng yuàn	would rather, prefer to
纽扣儿	niǔ kòu r	button
扭转	niǔ zhuǎn	to reverse, to turn round
浓厚	nóng hòu	dense, thick, strong (interest), deep
农历	nóng lì	traditional Chinese calendar, lunar calendar
奴隶	nú lì	slave
虐待	nüè dài	mistreatment, to mistreat, to abuse
挪	nuó	to move, to shift
哦	ò	oh
殴打	ōu dǎ	to beat up, to hit
呕吐	ǒu tù	to vomit, to throw up
欧洲	Ōu zhōu	Europe
趴	pā	to lie on the stomach
派别	pài bié	faction, group, school of thought
排斥	pái chì	to reject, to exclude, to repel
排除	pái chú	to eliminate, to remove, to get rid of
排放	pái fàng	emission, to discharge, to void
徘徊	pái huái	to move around, to fluctuate, to hesitate
派遣	pài qiǎn	to send, to dispatch
畔	pàn	bank, side, field-path
攀登	pān dēng	to climb, to clamber, to pull oneself up
判决	pàn jué	judgment, adjudication, to judge, to sentence
盘旋	pán xuán	to spiral, to circle, to hover
庞大	páng dà	huge, enormous
泡沫	pào mò	foam, bubble
抛弃	pāo qì	to discard, to abandon
配备	pèi bèi	equipment, to equip, to allocate
配偶	pèi ǒu	spouse, partner
配套	pèi tào	to form a complete set
培训	péi xùn	training, to train, to cultivate
培育	péi yù	culture, to cultivate, to breed, to foster
盆地	pén dì	basin (geography), bowl, pan
捧	pěng	to hold up with both hands, to flatter
烹饪	pēng rèn	cooking, culinary arts, to cook
劈	pī	to hack, to chop, to cleave
疲惫	pí bèi	exhausted, tired
批发	pī fā	wholesale, to wholesale
皮革	pí gé	leather
屁股	pì gu	buttocks, buttom
疲倦	pí juàn	fatigue, tired, sleepy
批判	pī pàn	to criticize
譬如	pì rú	for example, for instance
偏差	piān chā	deviation, error
片段	piàn duàn	fragment, extract, episode
偏见	piān jiàn	prejudice
片刻	piàn kè	moment, short period of time
偏僻	piān pì	remote, out-of-the-way
