唉	āi	uh (sigh)
强调	qiáng diào	to emphasize, to stress, to underling
强烈	qiáng liè	intense, strong, violent
瞧	qiáo	to look at, to see
巧妙	qiǎo miào	ingenious, clever
悄悄	qiāo qiāo	quietly, secretly
切	qiē	to cut, to chop
亲爱	qīn ài	dear, beloved
勤奋	qín fèn	hardworking, diligent
勤劳	qín láo	hardworking, industrious
侵略	qīn lüè	invasion, aggression, to invade
亲切	qīn qiè	friendliness, hospitality, kind, cordial, amiable
亲自	qīn zì	personally
青	qīng	blue/green
青春	qīng chūn	youth, youthfulness
清淡	qīng dàn	light (food)
情景	qíng jǐng	scene, sight, condition, circumstances
请求	qǐng qiú	request, to request, to ask
青少年	qīng shào nián	young person, teenager
轻视	qīng shì	to look down upon, to contempt
情绪	qíng xù	feeling, mood, sentiment
庆祝	qìng zhù	to celebrate
球迷	qiú mí	football fan
娶	qǔ	to marry (men -> woman)
去世	qù shì	to pass away, to die
趋势	qū shì	trend, tendency
取消	qǔ xiāo	cancellation, to cancel
劝	quàn	to advise, to persuade, to encourage
圈	quān	circle, ring, loop Measure, for loops, laps, etc.
权利	quán lì	right, privilege
权力	quán lì	power, authority
全面	quán miàn	all-around, overall, comprehensive
确定	què dìng	to make sure, to define, to determine
缺乏	quē fá	shortage, to be short of, to lack
确认	què rèn	confirmation, to confirm, to verify
燃烧	rán shāo	to burn, to kindle
嚷	rǎng	to blurt out, to shout
绕	rào	to wind, to coil (around), to go around
热爱	rè ài	to love ardently, to adore
热烈	rè liè	warm (welcome, etc.), enthusiastic
热心	rè xīn	enthusiasm, enthusiastic, ardent, warmhearted
忍不住	rěn bu zhù	cannot help, unable to bear
人才	rén cái	talent, talented person
人口	rén kǒu	population
人类	rén lèi	humanity, mankind
人生	rén shēng	life, human life
人事	rén shì	human affairs, personnel
人物	rén wù	character, protagonist
人员	rén yuán	staff, personnel
日常	rì cháng	daily
日程	rì chéng	schedule
日历	rì lì	calendar
日期	rì qī	date
日用品	rì yòng pǐn	articles for daily use
融化	róng huà	to melt, to thaw
荣幸	róng xìng	honoured
荣誉	róng yù	honour, glory
如何	rú hé	how, in what way
如今	rú jīn	nowadays
软件	ruǎn jiàn	software
弱	ruò	weak
洒	sǎ	to sprinkle, to spray
嗓子	sǎng zi	throat, voice
傻	shǎ	foolish
杀	shā	to kill
沙漠	shā mò	desert
沙滩	shā tān	beach
晒	shài	to share files, to dry in the sun, to sunbathe
删除	shān chú	to delete
闪电	shǎn diàn	lightning
善良	shàn liáng	kindhearted, good, honest
善于	shàn yú	to be good at
扇子	shàn zi	fan
上当	shàng dàng	to be fooled
商品	shāng pǐn	good, commodity
商业	shāng yè	business, commerce, trade
勺子	sháo zi	spoon
蛇	shé	snake
设备	shè bèi	equipment, facilities
舍不得	shě bu de	reluctant to give up or let go
设计	shè jì	design, plan, to design, to plan
射击	shè jī	to shoot, to fire (a gun)
设施	shè shī	facility, installation
舌头	shé tou	tongue
摄影	shè yǐng	to take a photo, to shoot a movie
伸	shēn	to stretch, to extend
身材	shēn cái	figure, stature
身份	shēn fèn	identity, status
神话	shén huà	fairy tale, myth
神经	shén jīng	nerve
深刻	shēn kè	profound, deep
神秘	shén mì	mystery, mysterious
升	shēng	to promote, to raise Measure, 1 liter
生产	shēng chǎn	production, to produce, to manufacture
声调	shēng diào	tone, note
生动	shēng dòng	vivid, lively
胜利	shèng lì	victory, triumph
省略	shěng lüè	to leave out, to omit
绳子	shéng zi	string, rope, cord
诗	shī	poem
士兵	shì bīng	soldier
时代	shí dài	time, era, epoch
似的	shì de	(seems) as if
是否	shì fǒu	whether (or not)
实话	shí huà	truth
实践	shí jiàn	to practice, to carry out
使劲儿	shǐ jìn r	to exert all one's strength
试卷	shì juàn	examination paper
时刻	shí kè	moment
时髦	shí máo	fashionable
失眠	shī mián	insomnia, be unable to sleep
时期	shí qī	period, phase
失去	shī qù	to lose (sth.)
时尚	shí shàng	fashion
事实	shì shí	fact
石头	shí tou	stone
食物	shí wù	food
事物	shì wù	thing, object
实习	shí xí	practice, internship, to practice
实现	shí xiàn	to realize, to achieve, to bring about
事先	shì xiān	in advance, beforehand
实行	shí xíng	to put into practice, to carry out
实验	shí yàn	experiment, to experiment
失业	shī yè	unemployment, to lose one's job, unemployed
实用	shí yòng	practical, pragmatisch, applied
始终	shǐ zhōng	from beginning to end
手工	shǒu gōng	hondwork, manual
收获	shōu huò	result, gain, harvest, to harvest
收据	shōu jù	receipt
寿命	shòu mìng	life span, life expectancy
受伤	shòu shāng	to get injured
手术	shǒu shù	operation, surgery
手套	shǒu tào	gloves
手续	shǒu xù	procedure, formality
手指	shǒu zhǐ	finger
鼠标	shǔ biāo	mouse (IT)
蔬菜	shū cài	vegetables
书架	shū jià	bookshelf
数据	shù jù	data
熟练	shú liàn	skilled, practiced, proficient
数码	shù mǎ	number, figure, digital
输入	shū rù	to import, to input
舒适	shū shì	comfortable, cozy
属于	shǔ yú	to belong to, to be part of
梳子	shū zi	comb
甩	shuǎi	to throw, to swing, to move back and forth
摔	shuāi	to fall, to throw down
双方	shuāng fāng	both sides, bilateral
税	shuì	tax, duty
说不定	shuō bu dìng	maybe, cannot say for sure
说服	shuō fú	to persuade, to convince
撕	sī	to tear up
丝绸	sī chóu	silk, silk cloth
丝毫	sī háo	the slightes amount or degree, very little
似乎	sì hū	apparently, it seems as if, seemingly
思考	sī kǎo	to ponder over, to think over, to reflect upon
寺庙	sì miào	temple, monastery
私人	sī rén	private (person), private
思想	sī xiǎng	idea, thought, thinking
宿舍	sù shè	dormitory
碎	suì	to break into pieces, broken (into pieces)
随时	suí shí	at all time, at any time
损失	sǔn shī	loss, damage, to lose, to damage
所	suǒ	actually Measure, for houses, buildings, institutions
锁	suǒ	lock, to lock up
缩短	suō duǎn	to curtail, to cut down
所谓	suǒ wèi	so-called
缩小	suō xiǎo	to reduce, to shrink, to lessen
塔	tǎ	tower
太极拳	tài jí quán	shadowboxing, Taiji
台阶	tái jiē	stairs, step
太太	tài tai	wife, Madame, Mrs.
谈判	tán pàn	negotiation, talks, to negotiate
坦率	tǎn shuài	frank, open, candid
烫	tàng	to burn, to iron, hot (food, etc.)
桃	táo	peach
逃	táo	to escape, to run away, to flee
套	tào	cover, to cover with Measure, for sets of things
逃避	táo bì	to escape, to avoid, to shirk
特殊	tè shū	special, unusual
特意	tè yì	specially, expressly
特征	tè zhēng	distinctive feature, characteristic
疼爱	téng ài	to love dearly
提	tí	to carry, to raise
提倡	tí chàng	to promote, to advocate
提纲	tí gāng	key points, outline
体会	tǐ huì	to know (through experience), to experience
体积	tǐ jī	volume
题目	tí mù	topic, title
体贴	tǐ tiē	considerate
提问	tí wèn	to raise a question
体现	tǐ xiàn	to embody, to incarnate
体验	tǐ yàn	to experience (for oneself)
天空	tiān kōng	sky
田野	tián yě	field, open land
天真	tiān zhēn	naive, innocent
调皮	tiáo pí	naughty, tricky
挑战	tiǎo zhàn	challange
调整	tiáo zhěng	adjustment, to adjust, to revise
铜	tóng	copper
通常	tōng cháng	regular, usually, normally
痛苦	tòng kǔ	pain, suffering, painful
痛快	tòng kuài	delighted, very happy
同时	tóng shí	at the same time, simultaneously
通讯	tōng xùn	communication, news report
统一	tǒng yī	to unify, to unite, to integrate
统治	tǒng zhì	regime, government, to rule, to govern
透明	tòu míng	transparent
投资	tóu zī	investment, to invest
吐	tù	to vomit
突出	tū chū	outstanding
土地	tǔ dì	land, soil, territory
土豆	tǔ dòu	potato
兔子	tù zi	rabbit
团	tuán	group, regiment Measure, for ball-like things
退	tuì	to return, to decline, to withdraw
退步	tuì bù	regression, to regress, to fall behind, to go backward
推辞	tuī cí	to decline, to turn down
推广	tuī guǎng	to spread, to popularize
推荐	tuī jiàn	recommendation, to recommend
退休	tuì xiū	retirement, to retire
歪	wāi	crooked, devious
外交	wài jiāo	diplomacy, foreign affairs
弯	wān	a curve, to bend, to curve, bent, curved
玩具	wán jù	toy
完美	wán měi	perfect
完善	wán shàn	to improve, to make perfect, perfect
万一	wàn yī	contingency, in case
完整	wán zhěng	complete, intact
往返	wǎng fǎn	back and forth, to and from
王子	wáng zǐ	prince
胃	wèi	stomach
尾巴	wěi ba	tail
未必	wèi bì	not necessarily
伟大	wěi dà	great, mighty
违反	wéi fǎn	to violate (law)
危害	wēi hài	endangerment, to endanger, to harm
维护	wéi hù	to defend, to safeguard, to maintain
围巾	wéi jīn	scarf
未来	wèi lái	future
委屈	wěi qu	to feel wronged
围绕	wéi rào	to revolve around, to surround
卫生间	wèi shēng jiān	bathroom, WC
委托	wěi tuō	to entrust, to commission, to consign
微笑	wēi xiào	smile, to smile
威胁	wēi xié	threat, menace, to threaten, to menace
唯一	wéi yī	only, sole
位置	wèi zhì	position, place
闻	wén	to hear, to smell
吻	wěn	kiss, to kiss
稳定	wěn dìng	stability, to stabalize, steady, stable
问候	wèn hòu	to send a greeting
文件	wén jiàn	document, file
文具	wén jù	stationery, writing materials
文明	wén míng	civilization, culture, civilized
温暖	wēn nuǎn	warm
温柔	wēn róu	gentle, soft, tender
文学	wén xué	literature
卧室	wò shì	bedroom
雾	wù	fog
物理	wù lǐ	physics
无奈	wú nài	to have no choice
武器	wǔ qì	weapon, arms
无数	wú shù	countless, innumerable
武术	wǔ shù	martial arts
物质	wù zhì	matter, substance, material
屋子	wū zi	room, house
系	xì	system, department
细节	xì jié	detail, particulars
戏剧	xì jù	drama, play, theater
吸收	xī shōu	to absorb, to soak up, to assimilate
系统	xì tǒng	system
吓	xià	to frighten, to scare
瞎	xiā	blind, groundlessly, foolishly, aimlessly
下载	xià zài	to download
县	xiàn	county
显得	xiǎn de	to seem, to look, to appear
现金	xiàn jīn	cash
显然	xiǎn rán	clear, evident
现实	xiàn shí	reality, actuality, real, actual
显示	xiǎn shì	Display, to show, to display, to demonstrate
现象	xiàn xiàng	appearance, phenomenon
鲜艳	xiān yàn	bright-coloured, colourful
项	xiàng	neck, point, item Measure, for tasks, events, etc.
相处	xiāng chǔ	to get along with each other
相当	xiāng dāng	be quivalent to, apropriate, quite, rather, fairly
相对	xiāng duì	to face each other, relatively, comperatively
相关	xiāng guān	correlation, dependence, to be interrelated
项链	xiàng liàn	necklace
项目	xiàng mù	item, project, sports event
想念	xiǎng niàn	to miss, to remember with longing
橡皮	xiàng pí	rubber, eraser
象棋	xiàng qí	Chinese chess
享受	xiǎng shòu	enjoyment, pleasure, to enjoy
相似	xiāng sì	to resemble, to be similar to
想象	xiǎng xiàng	imagination, to imagine, to visualize
象征	xiàng zhēng	symbol, to symbolize, to stand for
小吃	xiǎo chī	snack, refreshments
消费	xiāo fèi	consumption, to consume
消化	xiāo huà	digestion, to digest
小伙子	xiǎo huǒ zi	young fellow
效率	xiào lǜ	efficiency
小麦	xiǎo mài	wheat
消灭	xiāo miè	annihilation, to eliminate, to perish
小气	xiǎo qi	stingy, petty, miserly
消失	xiāo shī	to disappear, to fade away
销售	xiāo shòu	sales, to sell
孝顺	xiào shun	to be obedient to one's parents
小偷	xiǎo tōu	thief
斜	xié	inclined, slanting, oblique
歇	xiē	to rest
协调	xié tiáo	to coordinate, to harmonize
信封	xìn fēng	envelope
信号	xìn hào	signal
心理	xīn lǐ	psychology, mentality, psychological, menatl
欣赏	xīn shǎng	to enjoy, to appreciate
信息	xìn xī	information, news
心脏	xīn zàng	heart
形成	xíng chéng	to form, to take shape
行动	xíng dòng	action, operation, to move, to act
幸亏	xìng kuī	furtunately, luckily
行人	xíng rén	pedestrian
形容	xíng róng	description, to describe
形势	xíng shì	situation, circumstances, terrain
形式	xíng shì	form, shape
行为	xíng wéi	action, conduct, behaviour, activity
形象	xíng xiàng	image, appearance, figure
幸运	xìng yùn	luck, fortune, lucky, fortunate
性质	xìng zhì	nature, character
形状	xíng zhuàng	form, shape
胸	xiōng	chest
兄弟	xiōng dì	brothers
雄伟	xióng wěi	grand, magnificent
修改	xiū gǎi	modification, to modify, to amend, to revise
休闲	xiū xián	leisure
叙述	xù shù	narration, to tell, to relate
虚心	xū xīn	modest
宣布	xuān bù	to declare, to announce
宣传	xuān chuán	propaganda, to propagte, to disseminate
选举	xuǎn jǔ	election, to elect
学期	xué qī	term, semester
学术	xué shù	learning, science
学问	xué wen	knowledge
训练	xùn liàn	training, to train, to drill
迅速	xùn sù	rapid, speedy, quick
询问	xún wèn	to inquire
寻找	xún zhǎo	to seek, to look for
延长	yán cháng	to prolong, to extend
宴会	yàn huì	banquet, feast
严肃	yán sù	solemn, serious
痒	yǎng	to itch, to tickle
样式	yàng shì	type, style, pattern
阳台	yáng tái	balcony
摇	yáo	to shake, to sway
咬	yǎo	to bite
腰	yāo	waist, lower back
要不	yào bù	otherwise
要是	yào shi	if, in case
夜	yè	night
液体	yè tǐ	liquid
业务	yè wù	business, professional work
业余	yè yú	spare time, amateur
乙	yǐ	second(ly)
一辈子	yí bèi zi	a lifetime
一旦	yí dàn	in one day, in case, if, once
移动	yí dòng	movement, to move, to shift, mobile, portable
遗憾	yí hàn	to regret, regrettable
以及	yǐ jí	as well as
以来	yǐ lái	since
一路平安	yí lù píng ān	have a save trip!
议论	yì lùn	discussion, to discuss, to comment on
移民	yí mín	immigrant, to immigrate, to migrate
依然	yī rán	still, as before
意外	yì wài	accident, unexpected, accidental
疑问	yí wèn	question, doubt
义务	yì wù	duty, obligation, voluntary
意义	yì yì	meaning, sense, significance
一致	yí zhì	agreement, identical, unanimous (views, etc.)
银	yín	silver, silver (colour)
因而	yīn ér	thus, as a result
因素	yīn sù	element, factor
硬币	yìng bì	coin
应付	yìng fu	to deal with, to cope with
硬件	yìng jiàn	hardware
迎接	yíng jiē	to greet, to welcome, to meet
英俊	yīng jùn	handsome and smart
应聘	yìng pìn	to apply for a job
英雄	yīng xióng	hero
营养	yíng yǎng	nutrition, nourishment
营业	yíng yè	to do business, to trade
应用	yìng yòng	application, to apply, to use
影子	yǐng zi	shadow
拥抱	yōng bào	to embrace, to hug
拥挤	yōng jǐ	to squeeze, to press, crowded
勇气	yǒng qì	courage
用途	yòng tú	application, use, purpos
幼儿园	yòu ér yuán	kintergarten, nursery school
优惠	yōu huì	preferential, favourable
悠久	yōu jiǔ	long, longstanding
邮局	yóu jú	post office
游览	yóu lǎn	to visit, to go sightseeing
有利	yǒu lì	advantageous, beneficial
优美	yōu měi	fine, graceful
优势	yōu shì	superiority, dominance, advantage
犹豫	yóu yù	to hesitate
油炸	yóu zhá	to deep fry
预报	yù bào	forecast
预订	yù dìng	booking, to book, to subscribe for
预防	yù fáng	prevention, prophylaxis, to prevent
娱乐	yú lè	amusement, entertainment, to amuse, to entertain
玉米	yù mǐ	corn, maize
与其	yǔ qí	rather than
语气	yǔ qì	tone, manner of speaking
宇宙	yǔ zhòu	universe, cosmos
元旦	Yuán dàn	New Year's Day
缘故	yuán gù	reason, cause
原料	yuán liào	raw material
愿望	yuàn wàng	desire, wish
原则	yuán zé	principle
晕	yūn	to pass out, to faint, dizzy, faint, confused
运气	yùn qi	luck, fate
运输	yùn shū	transport, to transport
运用	yùn yòng	to use, to utilize
灾害	zāi hài	calamity, disaster
再三	zài sān	again and again
赞成	zàn chéng	to approve of, to agree with
赞美	zàn měi	applause, praise, to praise, to admire
造成	zào chéng	to bring about, to create, to cause
糟糕	zāo gāo	terrible, bad
则	zé	norm, standard, to follow (rule, etc.), then Measure, for written items
责备	zé bèi	to blame, to criticize
摘	zhāi	to pick, to pluck, to take off (glasses, etc.)
展开	zhǎn kāi	to unfold, to carry out, to spread out
展览	zhǎn lǎn	exhibition, to exhibit
粘贴	zhān tiē	to stick, to affix, to paste
占线	zhàn xiàn	busy (phone)
战争	zhàn zhēng	war
涨	zhǎng	to rise, to go up
账户	zhàng hù	bank account
掌握	zhǎng wò	to grasp, to master, to control
照常	zhào cháng	as usual
招待	zhāo dài	reception, to entertain (guests), to serve, to receive
召开	zhào kāi	to convene, to convoke, to call together
着凉	zháo liáng	to catch a cold
哲学	zhé xué	philosophy
阵	zhèn	disposition of troops, for short periods or events
振动	zhèn dòng	vibration, to vibrate
诊断	zhěn duàn	diagnosis, to diagnose
针对	zhēn duì	to be aimed at, to be directed against
真理	zhēn lǐ	truth
真实	zhēn shí	real, true
枕头	zhěn tou	pillow
珍惜	zhēn xī	to value, to cherish
正	zhèng	upright, honest, just, upright
睁	zhēng	to open (the eyes)
政策	zhèng cè	policy
政府	zhèng fǔ	government
整个	zhěng gè	whole, entire
证件	zhèng jiàn	certificate
证据	zhèng jù	evidence, proof
争论	zhēng lùn	argument, debate, to argue, to debate
挣钱	zhèng qián	to make money
征求	zhēng qiú	to solicit, to seek, to ask for
争取	zhēng qǔ	to strive for, to fight for
整体	zhěng tǐ	whole entity
政治	zhèng zhì	politics
直	zhí	to straighten, straight, direct
支	zhī	branch, division, to support Measure, for stick-like objects
指导	zhǐ dǎo	guidance, to guide, to direct
制定	zhì dìng	to formulate, to work out, to draw up
制度	zhì dù	system
智慧	zhì huì	wisdom, intelligence, knowledge
指挥	zhǐ huī	conductor, to conduct, to command, to direct
至今	zhì jīn	until now, until today
治疗	zhì liáo	medical treatment, to treat, to cure
支票	zhī piào	check (bank)
执行	zhí xíng	to carry out, to execute
秩序	zhì xù	order, orderly state
至于	zhì yú	to go so far as to, with regard to
志愿者	zhì yuàn zhě	volunteer
执照	zhí zhào	license
制作	zhì zuò	to make, to manufacture, to produce
重	zhòng	heavy, serious, heavily
钟	zhōng	clock, bell Measure, o'clock
中介	zhōng jiè	agency, agent
重量	zhòng liàng	weight
中心	zhōng xīn	center
中旬	zhōng xún	middle third of a month
周到	zhōu dao	thoughtful, considerate
煮	zhǔ	to cook, to boil
逐步	zhú bù	step by step
注册	zhù cè	to register
主持	zhǔ chí	to direct, to manage, to preside over
祝福	zhù fú	to bless, to wish well
嘱咐	zhǔ fù	to exhort, to enjoin, to tell
主观	zhǔ guān	subjectiv
主人	zhǔ rén	host, master
主席	zhǔ xí	chairman
主张	zhǔ zhāng	viewpoint, stand, to advocate, to stand for
竹子	zhú zi	bamboo
抓紧	zhuā jǐn	to grasp firmly, to pay special attention to, to seize
转变	zhuǎn biàn	change, to change, to transform
转告	zhuǎn gào	to pass on (a message, etc.), to transmit
专家	zhuān jiā	expert, specialist
专心	zhuān xīn	concentration, to concentrate, concentrated, attentive
装	zhuāng	dress, clothing, costume, to pretend, to install, to fix, to load, to pack
状况	zhuàng kuàng	condition, state, situation
装饰	zhuāng shì	decoration, to decorate
状态	zhuàng tài	state, condition
追求	zhuī qiú	to pursue, to seek after
紫	zǐ	purple
自从	zì cóng	ever since, since
自动	zì dòng	automatic
资格	zī gé	qualifications
自豪	zì háo	proud
资金	zī jīn	funds, capital
自觉	zì jué	aware, conscious, on one's own initiative
资料	zī liào	material, data, resources, profile (IT)
字幕	zì mù	caption, subtitle
姿势	zī shì	gesture, posture, pose
自私	zì sī	selfish
自信	zì xìn	(self-)confidence, (self-)confident
咨询	zī xún	consultation, to consult, to seek advice
自由	zì yóu	freedom, liberty, free
自愿	zì yuàn	voluntary
资源	zī yuán	resources
总裁	zǒng cái	general director
总共	zǒng gòng	altogether, in total
综合	zōng hé	Synthese, to integrate, to sum up, synthesized, integrated
宗教	zōng jiào	religion
总理	zǒng lǐ	premier, prime minister
总算	zǒng suàn	finally, in the end, at long last
总统	zǒng tǒng	president (of a country)
总之	zǒng zhī	in short, in a word
祖国	zǔ guó	fatherland, homeland
组合	zǔ hé	association, combination, to make up, to compose, to constitute
祖先	zǔ xiān	ancestor
阻止	zǔ zhǐ	to prevent, to stop
醉	zuì	intoxicated, drunk
最初	zuì chū	first, initial
罪犯	zuì fàn	criminal
尊敬	zūn jìng	respect, esteem, to respect, to revere
遵守	zūn shǒu	to abide by, to comply with
作品	zuò pǐn	works (literature, art)
作为	zuò wéi	conduct, ac, to accomplish, to act as, to take for, as
作文	zuò wén	composition, to write an essay
